파타, 78, 179
차파, 78, 159
마가, 93, 189
차라, 58, 170
타라, 80, 150
가카, 58, 158
가다, 93, 168
가타, 94, 164
아사, 94, 166
사자, 56, 176
카가, 87, 178
나아, 96, 153
바카, 51, 180
차나, 81, 182
카아, 66, 170
라가, 93, 179
타다, 89, 183
마아, 78, 186
차마, 43, 169
사파, 48, 186
다아, 70, 168
타하, 51, 152
카사, 45, 181
사바, 96, 174
라하, 54, 153
라사, 92, 159
마하, 60, 177
파바, 47, 174
다나, 57, 182
하사, 68, 183
바나, 96, 179
가아, 92, 163
아마, 63, 188
자자, 54, 188
사아, 87, 172
나타, 46, 184
라나, 82, 165
파타, 64, 172
바다, 54, 170
마하, 84, 161
자다, 90, 174
파마, 49, 170
아아, 42, 165
카자, 50, 168
나카, 93, 185
나타, 72, 174
나타, 75, 158
가라, 47, 150
나파, 48, 167
파나, 84, 168
아타, 48, 161
가파, 72, 164
차바, 61, 177
라타, 41, 152
아타, 52, 179
아바, 53, 187
아차, 83, 177
바라, 79, 178
다타, 95, 156
사하, 88, 157
나마, 63, 169
아하, 80, 160
마사, 50, 180
라카, 70, 169
자파, 43, 189
마자, 52, 187
차자, 64, 156
아사, 59, 160
파아, 86, 166
마라, 67, 184
가나, 61, 159
마가, 89, 187
하자, 85, 182
하마, 62, 173
사타, 71, 173
자가, 90, 153
가타, 42, 179
바라, 90, 170
바바, 91, 163
바자, 79, 151
마다, 85, 172
가가, 45, 182
바바, 71, 175
라나, 68, 182
차마, 59, 172
라가, 78, 163
사다, 62, 188
카타, 48, 165
아가, 79, 152
타카, 48, 178
마가, 77, 173
나라, 55, 173
마바, 62, 155
아다, 46, 155
가나, 90, 183
사차, 58, 163
사카, 70, 162
다자, 40, 182
다파, 62, 183
가다, 84, 189
라사, 81, 160
차차, 60, 170
카라, 68, 178
아마, 83, 157
바하, 51, 178
타라, 58, 160
나마, 52, 163
나마, 82, 174
타가, 79, 189
타파, 95, 165
바차, 55, 182
아카, 53, 169
라바, 58, 174
바하, 55, 177
사타, 54, 189
바하, 72, 180
타자, 84, 163
바사, 68, 175
타아, 95, 173
카나, 46, 180
타하, 83, 184
파차, 53, 166
하아, 43, 188
차타, 58, 157
타아, 87, 167
가카, 56, 176
카사, 79, 159
사하, 88, 164
다마, 82, 151
사나, 75, 182
나하, 78, 172
마파, 90, 161
가마, 70, 152
파가, 88, 172
나마, 63, 164
아차, 81, 159
자바, 83, 151
다차, 62, 186
차자, 78, 173
카타, 44, 175
사자, 68, 186
하타, 51, 168
카라, 67, 172
차나, 47, 156
카카, 67, 151
가사, 88, 159
나사, 86, 178
카다, 79, 182
카사, 62, 155
마라, 63, 154
카카, 49, 162
타나, 95, 165
차사, 48, 154
하사, 71, 161
하다, 42, 155
라사, 75, 172
하바, 97, 157
자아, 83, 183
마차, 60, 173
자타, 43, 165
다마, 55, 154
아하, 48, 165
다나, 94, 184
아아, 70, 157
사마, 50, 168
마라, 74, 188
바자, 87, 179
하자, 52, 158
파하, 87, 178
바가, 65, 174
라하, 90, 180
나아, 82, 173
다사, 77, 177
다카, 56, 171
하라, 56, 156
아가, 57, 180
차가, 71, 153
카다, 73, 166
아바, 73, 170
다아, 78, 150
카차, 47, 188
라차, 94, 170
마타, 55, 181
나자, 50, 179
아차, 60, 161
나아, 52, 173
차차, 56, 174
자마, 44, 160
마카, 98, 156
파하, 75, 174
다파, 62, 186
사타, 53, 156
가바, 96, 155
마아, 55, 159
나파, 66, 161
사다, 89, 172
가카, 95, 158
타타, 69, 164
자차, 75, 152
파마, 55, 181
가자, 81, 181
아아, 42, 174
바아, 99, 167
차파, 85, 173
자카, 76, 162
타다, 76, 161
차타, 70, 166
가바, 71, 158
가아, 61, 150
자자, 48, 177
파나, 47, 153
다타, 55, 152
다아, 65, 154
다사, 71, 181
하마, 47, 176
자다, 86, 159
자하, 56, 162
다나, 42, 173
가라, 60, 180
하카, 81, 171
사하, 98, 188
마사, 91, 173
다바, 75, 160
마파, 77, 155
차자, 57, 178
마가, 51, 174
가파, 58, 158
다사, 64, 178
라사, 77, 166
하나, 84, 185
자가, 81, 189
카라, 71, 180
하바, 96, 178
마차, 86, 188
자파, 57, 157
자카, 60, 151
타사, 60, 166
나라, 67, 171
라아, 81, 156
바차, 40, 183
하다, 86, 185
사차, 91, 177
파아, 75, 182
마하, 62, 180
자파, 98, 180
사차, 56, 180
마라, 76, 155
카가, 91, 184
라라, 61, 179
자차, 91, 170
라라, 94, 160
사마, 52, 162
타차, 54, 169
하하, 71, 179
하카, 94, 183
라라, 99, 170
라아, 47, 176
바마, 48, 182
바자, 49, 158
타자, 64, 156
마하, 59, 189
사차, 92, 168
다타, 52, 161
타라, 76, 174
바자, 98, 171
타파, 85, 183
다나, 50, 180
차마, 45, 166
파사, 78, 179
다카, 67, 160
하마, 95, 169
하하, 99, 184
카다, 77, 167
아나, 66, 175
바다, 71, 164
가카, 49, 163
사타, 44, 159
하마, 45, 182
라마, 78, 176
자나, 86, 155
자바, 57, 177
파다, 78, 182
카마, 66, 166
다사, 56, 168
마차, 62, 173
타사, 63, 189
파가, 90, 168
자바, 79, 181
사파, 54, 154
카사, 58, 168
타라, 74, 185
아타, 78, 152
사카, 50, 150
차사, 93, 155
나파, 54, 161
바타, 43, 163
나라, 53, 161
가하, 55, 180
카파, 97, 185
카카, 59, 155
나타, 70, 187
하나, 81, 184
하차, 75, 181
나라, 40, 187
다바, 43, 154
